L 06/18/2010 - 16:24:50: Log file started (file "cstrike/addons/amxmodx/configs/csf_anticheat/logs/csf_ac_cmdflood.log") (game "cstrike") (amx "1.8.1.3746")
L 06/18/2010 - 16:24:50: CMDFlood * Nick: <~DENIS~> , IP: <10.33.102.109> , SteamID: <STEAM_0:4:1646092761> , CmdFlood: <vest>
L 06/18/2010 - 19:07:37: CMDFlood * Nick: <~DENIS~> , IP: <10.33.101.229> , SteamID: <STEAM_0:4:639427033> , CmdFlood: <hegren>
L 06/18/2010 - 20:44:12: CMDFlood * Nick: <(|-|eXt)_Fantom52--->> , IP: <77.37.236.136> , SteamID: <STEAM_0:0:1565608842> , CmdFlood: <alias>
L 06/18/2010 - 20:45:24: CMDFlood * Nick: <JULIA> , IP: <91.190.70.4> , SteamID: <STEAM_0:0:1698000570> , CmdFlood: <alias>
L 06/18/2010 - 20:45:43: CMDFlood * Nick: <(|-|eXt)_Fantom52--->> , IP: <77.37.236.136> , SteamID: <STEAM_0:0:1565608842> , CmdFlood: <alias>
L 06/18/2010 - 20:57:29: CMDFlood * Nick: <(|-|eXt)_Fantom52--->> , IP: <77.37.236.136> , SteamID: <STEAM_0:0:1565608842> , CmdFlood: <alias>
L 06/18/2010 - 21:00:58: CMDFlood * Nick: <~DENIS~> , IP: <10.33.103.143> , SteamID: <STEAM_0:4:320725465> , CmdFlood: <timeleft>
L 06/18/2010 - 21:01:39: CMDFlood * Nick: <JULIA> , IP: <91.190.70.4> , SteamID: <STEAM_0:0:1698000570> , CmdFlood: <alias>
L 06/19/2010 - 11:03:36: CMDFlood * Nick: <XomI[4]> , IP: <95.30.36.19> , SteamID: <STEAM_0:4:1564245619> , CmdFlood: <alias>
L 06/19/2010 - 11:43:49: CMDFlood * Nick: <XomI[4]> , IP: <95.30.36.19> , SteamID: <STEAM_0:4:1564245619> , CmdFlood: <alias>
L 06/19/2010 - 14:26:12: CMDFlood * Nick: <XomI[4]> , IP: <95.30.36.19> , SteamID: <STEAM_0:4:1564245619> , CmdFlood: <alias>
L 06/19/2010 - 14:26:42: CMDFlood * Nick: <XomI[4]> , IP: <95.30.36.19> , SteamID: <STEAM_0:4:1564245619> , CmdFlood: <alias>
L 06/19/2010 - 14:52:45: CMDFlood * Nick: <XomI[4]> , IP: <95.30.36.19> , SteamID: <STEAM_0:4:1564245619> , CmdFlood: <alias>
L 06/19/2010 - 17:05:37: CMDFlood * Nick: <JULIA> , IP: <91.190.70.4> , SteamID: <STEAM_0:0:1698000570> , CmdFlood: <alias>
L 06/19/2010 - 17:52:27: CMDFlood * Nick: <~DENIS~> , IP: <10.33.103.1> , SteamID: <STEAM_0:4:1411244505> , CmdFlood: <flash>
L 06/19/2010 - 21:13:49: CMDFlood * Nick: <~DENIS~> , IP: <10.33.103.6> , SteamID: <STEAM_0:4:1469964761> , CmdFlood: <defuser>
L 06/19/2010 - 22:38:29: CMDFlood * Nick: <XomI[4]> , IP: <95.30.37.238> , SteamID: <STEAM_0:4:599588467> , CmdFlood: <alias>
L 06/20/2010 - 10:12:18: CMDFlood * Nick: <Dead 7 AJAL> , IP: <91.188.143.112> , SteamID: <STEAM_0:4:1827254129> , CmdFlood: <chooseteam>
