L 06/22/2010 - 20:00:37: Log file started (file "cstrike/addons/amxmodx/configs/csf_anticheat/logs/csf_ac_fastfire.log") (game "cstrike") (amx "1.8.1.3746")
L 06/22/2010 - 20:00:37: FastFire * Nick: <*PK*=>K.O#GGT> , IP: <95.107.77.31> , SteamID: <STEAM_0:4:1527301363> , Ping: <58>
L 07/31/2010 - 00:36:35: FastFire * Nick: <bZ>Toni Montana> , IP: <109.229.65.90> , SteamID: <STEAM_0:0:624207194> , Ping: <45>
L 08/18/2010 - 01:56:58: FastFire * Nick: <MY}I{UK-TEJIEFOH> , IP: <91.185.65.141> , SteamID: <STEAM_0:0:860845622> , Ping: <33>
L 08/18/2010 - 01:57:08: FastFire * Nick: <MY}I{UK-TEJIEFOH> , IP: <91.185.65.141> , SteamID: <STEAM_0:0:860845622> , Ping: <29>
L 09/12/2010 - 20:18:00: FastFire * Nick: <lol> , IP: <91.145.136.31> , SteamID: <STEAM_0:1:33529295> , Ping: <54>
L 09/19/2010 - 06:55:35: FastFire * Nick: <IIIpam> , IP: <188.168.17.128> , SteamID: <VALVE_0:4:346465538> , Ping: <51>
L 10/16/2010 - 12:48:50: FastFire * Nick: <ololololoololol> , IP: <94.41.150.166> , SteamID: <STEAM_0:4:132474355> , Ping: <29>
L 10/28/2010 - 14:11:36: FastFire * Nick: <<--SaTChKiN PaTChKiN-->> , IP: <91.185.64.124> , SteamID: <STEAM_0:4:1787702769> , Ping: <48>
L 11/19/2010 - 19:09:57: FastFire * Nick: <kdsmh> , IP: <95.54.238.98> , SteamID: <STEAM_0:0:1159346204> , Ping: <26>
L 11/19/2010 - 19:09:58: FastFire * Nick: <kdsmh> , IP: <95.54.238.98> , SteamID: <STEAM_0:0:1159346204> , Ping: <26>
L 11/21/2010 - 00:50:50: FastFire * Nick: <[No-MyaC]ALBANEC> , IP: <178.218.24.1> , SteamID: <STEAM_0:4:1411521541> , Ping: <59>
L 11/28/2010 - 16:02:44: FastFire * Nick: <Dumbass> , IP: <109.187.251.222> , SteamID: <STEAM_0:4:1003728106> , Ping: <52>
L 11/29/2010 - 16:25:39: FastFire * Nick: <HAOS> , IP: <89.250.230.91> , SteamID: <STEAM_0:4:2036141168> , Ping: <87>
L 11/29/2010 - 16:25:40: FastFire * Nick: <HAOS> , IP: <89.250.230.91> , SteamID: <STEAM_0:4:2036141168> , Ping: <89>
L 12/09/2010 - 08:03:42: FastFire * Nick: <HAOS> , IP: <89.250.230.58> , SteamID: <STEAM_0:4:1239223408> , Ping: <68>
L 12/09/2010 - 08:03:43: FastFire * Nick: <HAOS> , IP: <89.250.230.58> , SteamID: <STEAM_0:4:1239223408> , Ping: <141>
L 12/11/2010 - 07:03:07: FastFire * Nick: <JEKA> , IP: <91.189.164.241> , SteamID: <STEAM_0:0:701139273> , Ping: <134>
L 12/20/2010 - 08:24:32: FastFire * Nick: <HAOS> , IP: <89.250.230.41> , SteamID: <STEAM_0:4:1079839856> , Ping: <62>
L 01/12/2011 - 23:01:47: FastFire * Nick: <2531> , IP: <95.54.65.58> , SteamID: <STEAM_0:4:1234102899> , Ping: <54>
L 01/26/2011 - 15:09:39: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <46>
L 01/26/2011 - 15:09:45: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <71>
L 01/26/2011 - 15:09:47: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <65>
L 01/26/2011 - 15:09:52: FastFire * Nick: <~^007^~> , IP: <212.57.145.150> , SteamID: <STEAM_0:4:535227830> , Ping: <57>
